season,target,n_val,base_rate,naive_logloss,best_dc_weight,DC_logloss,DC_brier,DC_acc,LGB_logloss,LGB_brier,LGB_acc,Ensemble_logloss,Ensemble_brier,Ensemble_acc
2022/2023,over25,376,0.5319148936170213,0.6911086741443572,0.25,0.705743299365816,0.2559309934016999,0.5026595744680851,0.6934166609474334,0.250133820083504,0.5319148936170213,0.6922118452021216,0.24954529713119944,0.5053191489361702
2022/2023,btts,376,0.5186170212765957,0.6924538333392428,0.05,0.7065235550891443,0.25636915076373656,0.5,0.6943108507312394,0.25058160775105504,0.4973404255319149,0.6943018115649814,0.25057695563340227,0.4867021276595745
2022/2023,1x2,376,0.48404255319148937,1.0469475022856545,0.2,1.0348703749650883,0.0,0.4867021276595745,1.005516151667757,0.0,0.526595744680851,1.0041799240078542,0.0,0.523936170212766
2023/2024,over25,376,0.6462765957446809,0.649721151939771,0.0,0.7100795833884466,0.2577346928635061,0.5159574468085106,0.6802879098307365,0.2435766069833634,0.6462765957446809,0.6802879098307365,0.2435766069833634,0.6462765957446809
2023/2024,btts,376,0.6143617021276596,0.6667570056730923,0.0,0.7082147962881921,0.2573026175551775,0.4654255319148936,0.6821623764811595,0.24439020736763728,0.5904255319148937,0.6821623764811595,0.24439020736763728,0.5904255319148937
2023/2024,1x2,376,0.4601063829787234,1.0530987315972333,0.15000000000000002,0.9552875645226442,0.0,0.5345744680851063,0.9244368159514639,0.0,0.5797872340425532,0.9235816794305616,0.0,0.5824468085106383
2024/2025,over25,376,0.5691489361702128,0.6835533095539307,0.15000000000000002,0.6842240296756855,0.24551552239387783,0.5558510638297872,0.6749612598913312,0.2408427648283261,0.5877659574468085,0.6746924614856076,0.24080882490496286,0.5797872340425532
2024/2025,btts,376,0.574468085106383,0.6820148175994906,0.30000000000000004,0.6887173214155231,0.247710412428614,0.5425531914893617,0.6844387577647849,0.24565865989120683,0.5611702127659575,0.683677320103808,0.2452994238023792,0.550531914893617
2024/2025,1x2,376,0.4095744680851064,1.0763184912513757,0.0,1.021111184743012,0.0,0.4920212765957447,0.9658493740961452,0.0,0.5292553191489362,0.9658493740961452,0.0,0.5292553191489362
2025/2026,over25,257,0.5447470817120622,0.6891372151028459,0.5,0.6761551490222522,0.24146928543121704,0.5875486381322957,0.6766541962168728,0.2418109366029017,0.5642023346303502,0.6728671656919203,0.23995245746024094,0.5953307392996109
2025/2026,btts,257,0.5642023346303502,0.6848804964281621,0.5,0.6789880170459981,0.24303208173218288,0.5953307392996109,0.6873015830915221,0.2470806300532424,0.5642023346303502,0.6809660699772174,0.24395426399419917,0.5836575875486382
2025/2026,1x2,257,0.42412451361867703,1.0794393209843938,0.5,1.0239848480490463,0.0,0.48249027237354086,1.024773855553996,0.0,0.49416342412451364,1.0160126460216579,0.0,0.4785992217898833
