season,target,n_val,base_rate,naive_logloss,best_dc_weight,DC_logloss,DC_brier,DC_acc,LGB_logloss,LGB_brier,LGB_acc,Ensemble_logloss,Ensemble_brier,Ensemble_acc
2022/2023,1x2,376,0.4840425531914893,1.0469475022856545,0.0,1.0348702886871934,0.0,0.4867021276595745,0.8394524317558433,0.0,0.6329787234042553,0.8394524317558433,0.0,0.6329787234042553
2022/2023,btts,376,0.5186170212765957,0.6924538333392428,0.0,0.7065237613423957,0.2563692480174311,0.5053191489361702,0.6333525692369029,0.2212473390019978,0.6702127659574468,0.6333525692369029,0.2212473390019978,0.6702127659574468
2022/2023,over25,376,0.5319148936170213,0.6911086741443572,0.0,0.7057435186970855,0.2559310930492363,0.5026595744680851,0.6296456070003578,0.2194486964522527,0.6595744680851063,0.6296456070003578,0.2194486964522527,0.6595744680851063
2023/2024,1x2,376,0.4601063829787234,1.0530987315972333,0.05,0.9552892183692123,0.0,0.5345744680851063,0.7926468471281196,0.0,0.6542553191489362,0.7914370752983657,0.0,0.648936170212766
2023/2024,btts,376,0.6143617021276596,0.6667570056730923,0.0,0.7082133612602236,0.25730198532801113,0.523936170212766,0.6192490379261956,0.21426989303127497,0.6675531914893617,0.6192490379261956,0.21426989303127497,0.6675531914893617
2023/2024,over25,376,0.6462765957446809,0.649721151939771,0.0,0.7100785647898743,0.257734308155195,0.5531914893617021,0.585406801245825,0.19951982781803854,0.7154255319148937,0.585406801245825,0.19951982781803854,0.7154255319148937
2024/2025,1x2,376,0.4095744680851064,1.0763184912513757,0.0,1.0211094003019536,0.0,0.4920212765957447,0.8115024417004876,0.0,0.6223404255319149,0.8115147191419331,0.0,0.6223404255319149
2024/2025,btts,376,0.574468085106383,0.6820148175994906,0.0,0.6887172432619002,0.24771037664849418,0.5638297872340425,0.6115855753954461,0.21041696180429784,0.699468085106383,0.6115855753954461,0.21041696180429784,0.699468085106383
2024/2025,over25,376,0.5691489361702128,0.6835533095539307,0.0,0.6842240214949045,0.24551552704377325,0.5771276595744681,0.6009572553994708,0.20687900720968305,0.699468085106383,0.6009572553994708,0.20687900720968305,0.699468085106383
2025/2026,1x2,257,0.42412451361867703,1.0794393209843938,0.1,1.024014508164038,0.0,0.48249027237354086,0.905221352890608,0.0,0.5758754863813229,0.9033808632529304,0.0,0.5758754863813229
2025/2026,btts,257,0.5642023346303502,0.6848804964281621,0.1,0.6788834011092506,0.2429809268961403,0.5875486381322957,0.631690172924835,0.22059479642764332,0.6536964980544747,0.6312037497658363,0.22026419951907278,0.6498054474708171
2025/2026,over25,257,0.5447470817120622,0.6891372151028459,0.2,0.6761356416505132,0.2414583441531166,0.5719844357976653,0.618299098742388,0.2157563097097933,0.6614785992217899,0.6136068939916262,0.2127805462053511,0.669260700389105
