team_name,competition_code
1. FC Union Berlin,CL
1899 Hoffenheim,CL
AC Milan,CL
AC Sparta Praha,CL
AEK Athen,CL
AFC Ajax,CL
APOEL Nikosia,CL
AS Monaco,CL
AS Monaco FC,CL
AS Roma,CL
Arsenal FC,CL
Aston Villa FC,CL
Atalanta,CL
Atalanta BC,CL
Athletic Club,CL
Atlético Madrid,CL
Austria Wien,CL
BATE Borisov,CL
BSC Young Boys,CL
Bayer 04 Leverkusen,CL
Bayer Leverkusen,CL
Bayern München,CL
Beşiktaş,CL
Bologna FC 1909,CL
Bor. Mönchengladbach,CL
Borussia Dortmund,CL
CFR Cluj,CL
CSKA Moskva,CL
Celtic FC,CL
Chelsea FC,CL
Club Atlético de Madrid,CL
Club Brugge KV,CL
Crvena Zvezda,CL
Dinamo Kiev,CL
Dinamo Zagreb,CL
Eintracht Frankfurt,CL
FC Barcelona,CL
FC Basel 1893,CL
FC Bayern München,CL
FC Internazionale Milano,CL
FC København,CL
FC Midtjylland,CL
FC Nordsjælland,CL
FC Porto,CL
FC Red Bull Salzburg,CL
FC Schalke 04,CL
FC Sheriff,CL
FC Steaua Bucureşti,CL
FK Astana,CL
FK Bodø/Glimt,CL
FK Crvena Zvezda,CL
FK Kairat,CL
FK Krasnodar,CL
FK Rostov,CL
FK Shakhtar Donetsk,CL
Ferencvárosi TC,CL
Feyenoord,CL
Feyenoord Rotterdam,CL
GNK Dinamo Zagreb,CL
Galatasaray,CL
Galatasaray SK,CL
Girona FC,CL
Inter,CL
Juventus,CL
Juventus FC,CL
KAA Gent,CL
KRC Genk,CL
Lazio Roma,CL
Legia Warszawa,CL
Leicester City,CL
Lille OSC,CL
Liverpool FC,CL
Lokomotiv Moskva,CL
Maccabi Haifa,CL
Maccabi Tel Aviv,CL
Malmö FF,CL
Manchester City,CL
Manchester City FC,CL
Manchester United,CL
Manchester United FC,CL
Montpellier HSC,CL
Málaga CF,CL
NK Maribor,CL
Newcastle United FC,CL
Olympiakos Piraeus,CL
Olympique Lyonnais,CL
Olympique Marseille,CL
Olympique de Marseille,CL
Oţelul Galaţi,CL
PAE Olympiakos SFP,CL
PFC Ludogorets Razgrad,CL
PSV,CL
PSV Eindhoven,CL
Paphos FC,CL
Paris Saint-Germain,CL
Paris Saint-Germain FC,CL
Qarabağ Ağdam FK,CL
Qarabağ FK,CL
RB Leipzig,CL
RB Salzburg,CL
RSC Anderlecht,CL
Racing Club de Lens,CL
Rangers FC,CL
Real Madrid,CL
Real Madrid CF,CL
Real Sociedad,CL
Real Sociedad de Fútbol,CL
Royal Antwerp FC,CL
Royale Union Saint-Gilloise,CL
SK Slavia Praha,CL
SK Sturm Graz,CL
SL Benfica,CL
SS Lazio,CL
SSC Napoli,CL
Sevilla FC,CL
Shakhtar Donetsk,CL
Slavia Praha,CL
