Date,competition,HomeTeam,AwayTeam,FTHG,FTAG,over25,btts,ftr_encoded,home_key,away_key,home_gf_r3,home_ga_r3,home_shots_r3,home_sot_r3,home_corners_r3,home_fouls_r3,home_ycards_r3,home_xgf_r3,home_xga_r3,home_games_r3,away_gf_r3,away_ga_r3,away_shots_r3,away_sot_r3,away_corners_r3,away_fouls_r3,away_ycards_r3,away_xgf_r3,away_xga_r3,away_games_r3,xg_atk_def_diff_r3,ppg_proxy_diff_r3,atk_def_diff_r3,def_atk_diff_r3,home_gf_r5,home_ga_r5,home_shots_r5,home_sot_r5,home_corners_r5,home_fouls_r5,home_ycards_r5,home_xgf_r5,home_xga_r5,home_games_r5,away_gf_r5,away_ga_r5,away_shots_r5,away_sot_r5,away_corners_r5,away_fouls_r5,away_ycards_r5,away_xgf_r5,away_xga_r5,away_games_r5,xg_atk_def_diff_r5,ppg_proxy_diff_r5,atk_def_diff_r5,def_atk_diff_r5,home_gf_r10,home_ga_r10,home_shots_r10,home_sot_r10,home_corners_r10,home_fouls_r10,home_ycards_r10,home_xgf_r10,home_xga_r10,home_games_r10,away_gf_r10,away_ga_r10,away_shots_r10,away_sot_r10,away_corners_r10,away_fouls_r10,away_ycards_r10,away_xgf_r10,away_xga_r10,away_games_r10,xg_atk_def_diff_r10,ppg_proxy_diff_r10,atk_def_diff_r10,def_atk_diff_r10,competition_flag,season,home_eu_gf_r3,home_eu_ga_r3,home_eu_ppg_r3,away_eu_gf_r3,away_eu_ga_r3,away_eu_ppg_r3,eu_gd_diff_r3,eu_ppg_diff_r3,home_eu_gf_r5,home_eu_ga_r5,home_eu_ppg_r5,away_eu_gf_r5,away_eu_ga_r5,away_eu_ppg_r5,eu_gd_diff_r5,eu_ppg_diff_r5
2011-09-13,CL,FC Porto,Shakhtar Donetsk,2,1,1,1,0.0,porto,shakhtar donetsk,3.6666666666666665,1.0,,,,,,,,3.0,,,,,,,,,,0.0,,,,,3.0,0.75,,,,,,,,4.0,,,,,,,,,,0.0,,,,,3.0,0.75,,,,,,,,4.0,,,,,,,,,,0.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-13,CL,APOEL Nikosia,Zenit St. Petersburg,2,1,1,1,0.0,apoel nikosia,zenit,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-13,CL,Olympiakos Piraeus,Olympique Marseille,0,1,0,0,2.0,olympiacos,marseille,,,,,,,,,,0.0,0.6666666666666666,1.3333333333333333,19.333333333333332,5.333333333333333,9.333333333333334,11.333333333333334,2.3333333333333335,,,3.0,,,,,,,,,,,,,,0.0,1.2,1.6,18.4,5.2,6.8,13.4,2.0,,,5.0,,,,,,,,,,,,,,0.0,1.2,1.6,18.4,5.2,6.8,13.4,2.0,,,5.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-13,CL,Borussia Dortmund,Arsenal FC,1,1,0,1,1.0,borussia dortmund,arsenal,,,,,,,,,,0.0,1.0,3.3333333333333335,15.666666666666666,9.0,6.0,9.333333333333334,2.6666666666666665,,,3.0,,,,,,,,,,,,,,0.0,0.75,2.5,14.0,7.75,5.75,9.75,3.25,,,4.0,,,,,,,,,,,,,,0.0,0.75,2.5,14.0,7.75,5.75,9.75,3.25,,,4.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-13,CL,FC Barcelona,AC Milan,2,2,1,1,1.0,barcelona,milan,3.5,1.0,15.5,7.5,8.0,16.0,2.0,,,2.0,2.0,2.0,18.0,8.0,3.0,16.0,2.0,,,1.0,,2.5,1.5,1.0,3.5,1.0,15.5,7.5,8.0,16.0,2.0,,,2.0,2.0,2.0,18.0,8.0,3.0,16.0,2.0,,,1.0,,2.5,1.5,1.0,3.5,1.0,15.5,7.5,8.0,16.0,2.0,,,2.0,2.0,2.0,18.0,8.0,3.0,16.0,2.0,,,1.0,,2.5,1.5,1.0,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-13,CL,Viktoria Plzeň,BATE Borisov,1,1,0,1,1.0,viktoria plzen,bate borisov,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-13,CL,KRC Genk,Valencia CF,0,0,0,0,1.0,krc genk,valencia,,,,,,,,,,0.0,2.5,1.5,19.0,8.5,6.5,14.5,2.0,,,2.0,,,,,,,,,,,,,,0.0,2.5,1.5,19.0,8.5,6.5,14.5,2.0,,,2.0,,,,,,,,,,,,,,0.0,2.5,1.5,19.0,8.5,6.5,14.5,2.0,,,2.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-13,CL,Chelsea FC,Bayer Leverkusen,2,0,0,0,0.0,chelsea,bayer leverkusen,2.3333333333333335,1.0,18.0,9.333333333333334,7.333333333333333,10.666666666666666,1.6666666666666667,,,3.0,,,,,,,,,,0.0,,,,,1.75,0.75,18.5,9.75,7.0,11.0,1.75,,,4.0,,,,,,,,,,0.0,,,,,1.75,0.75,18.5,9.75,7.0,11.0,1.75,,,4.0,,,,,,,,,,0.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-14,CL,Lille OSC,CSKA Moskva,2,2,1,1,1.0,lille,cska moscow,2.6666666666666665,1.3333333333333333,11.666666666666666,6.666666666666667,4.666666666666667,15.666666666666666,2.6666666666666665,,,3.0,,,,,,,,,,0.0,,,,,1.8,1.2,14.6,6.4,5.8,15.6,2.8,,,5.0,,,,,,,,,,0.0,,,,,1.8,1.2,14.6,6.4,5.8,15.6,2.8,,,5.0,,,,,,,,,,0.0,,,,,1.0,2011/2012,,,,,,,,,,,,,,,,
2011-09-14,CL,Villarreal CF,Bayern München,0,2,0,0,2.0,villarreal,bayern munich,1.0,3.5,8.0,3.0,1.0,14.5,2.5,,,2.0,5.0,0.0,22.0,12.333333333333334,6.333333333333333,12.333333333333334,1.0,,,3.0,,-7.5,1.0,1.5,1.0,3.5,8.0,3.0,1.0,14.5,2.5,,,2.0,3.2,0.2,19.2,9.4,7.8,12.6,1.2,,,5.0,,-5.5,0.8,-0.2999999999999998,1.0,3.5,8.0,3.0,1.0,14.5,2.5,,,2.0,3.2,0.2,19.2,9.4,7.8,12.6,1.2,,,5.0,,-5.5,0.8,-0.2999999999999998,1.0,2011/2012,,,,,,,,,,,,,,,,
