date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2019-09-18,18.55,Club Brugge KV,Galatasaray,0,0,Group A,0-0,,CL,Champions League,2019
2019-09-18,21.00,Paris Saint-Germain,Real Madrid,3,0,Group A,3-0,(2-0),CL,Champions League,2019
2019-10-01,18.55,Real Madrid,Club Brugge KV,2,2,Group A,2-2,(0-2),CL,Champions League,2019
2019-10-01,21.00,Galatasaray,Paris Saint-Germain,0,1,Group A,0-1,(0-0),CL,Champions League,2019
2019-10-22,21.00,Club Brugge KV,Paris Saint-Germain,0,5,Group A,0-5,(0-1),CL,Champions League,2019
2019-10-22,,Galatasaray,Real Madrid,0,1,Group A,0-1,(0-1),CL,Champions League,2019
2019-11-06,21.00,Paris Saint-Germain,Club Brugge KV,1,0,Group A,1-0,(1-0),CL,Champions League,2019
2019-11-06,,Real Madrid,Galatasaray,6,0,Group A,6-0,(4-0),CL,Champions League,2019
2019-11-26,18.55,Galatasaray,Club Brugge KV,1,1,Group A,1-1,(1-0),CL,Champions League,2019
2019-11-26,21.00,Real Madrid,Paris Saint-Germain,2,2,Group A,2-2,(1-0),CL,Champions League,2019
2019-12-11,21.00,Paris Saint-Germain,Galatasaray,5,0,Group A,5-0,(2-0),CL,Champions League,2019
2019-12-11,,Club Brugge KV,Real Madrid,1,3,Group A,1-3,(0-0),CL,Champions League,2019
2019-09-18,18.55,Olympiakos Piraeus,Tottenham Hotspur,2,2,Group B,2-2,(1-2),CL,Champions League,2019
2019-09-18,21.00,Bayern München,Crvena Zvezda,3,0,Group B,3-0,(1-0),CL,Champions League,2019
2019-10-01,21.00,Tottenham Hotspur,Bayern München,2,7,Group B,2-7,(1-2),CL,Champions League,2019
2019-10-01,,Crvena Zvezda,Olympiakos Piraeus,3,1,Group B,3-1,(0-1),CL,Champions League,2019
2019-10-22,21.00,Tottenham Hotspur,Crvena Zvezda,5,0,Group B,5-0,(3-0),CL,Champions League,2019
2019-10-22,,Olympiakos Piraeus,Bayern München,2,3,Group B,2-3,(1-1),CL,Champions League,2019
