team_name
1. FC Union Berlin
1899 Hoffenheim
AC Milan
AC Sparta Praha
AEK Athen
AFC Ajax
APOEL Nikosia
AS Monaco
AS Monaco FC
AS Roma
Arsenal FC
Aston Villa FC
Atalanta
Atalanta BC
Athletic Club
Atlético Madrid
Austria Wien
BATE Borisov
BSC Young Boys
Bayer 04 Leverkusen
Bayer Leverkusen
Bayern München
Beşiktaş
Bologna FC 1909
Bor. Mönchengladbach
Borussia Dortmund
CFR Cluj
CSKA Moskva
Celtic FC
Chelsea FC
Club Atlético de Madrid
Club Brugge KV
Crvena Zvezda
Dinamo Kiev
Dinamo Zagreb
Eintracht Frankfurt
FC Barcelona
FC Basel 1893
FC Bayern München
FC Internazionale Milano
FC København
FC Midtjylland
FC Nordsjælland
FC Porto
FC Red Bull Salzburg
FC Schalke 04
FC Sheriff
FC Steaua Bucureşti
FK Astana
FK Bodø/Glimt
FK Crvena Zvezda
FK Kairat
FK Krasnodar
FK Rostov
FK Shakhtar Donetsk
Ferencvárosi TC
Feyenoord
Feyenoord Rotterdam
GNK Dinamo Zagreb
Galatasaray
Galatasaray SK
Girona FC
Inter
Juventus
Juventus FC
KAA Gent
KRC Genk
Lazio Roma
Legia Warszawa
Leicester City
Lille OSC
Liverpool FC
Lokomotiv Moskva
Maccabi Haifa
Maccabi Tel Aviv
Malmö FF
Manchester City
Manchester City FC
Manchester United
Manchester United FC
Montpellier HSC
Málaga CF
NK Maribor
Newcastle United FC
Olympiakos Piraeus
Olympique Lyonnais
Olympique Marseille
Olympique de Marseille
Oţelul Galaţi
PAE Olympiakos SFP
PFC Ludogorets Razgrad
PSV
PSV Eindhoven
Paphos FC
Paris Saint-Germain
Paris Saint-Germain FC
Qarabağ Ağdam FK
Qarabağ FK
RB Leipzig
RB Salzburg
RSC Anderlecht
Racing Club de Lens
Rangers FC
Real Madrid
Real Madrid CF
Real Sociedad
Real Sociedad de Fútbol
Royal Antwerp FC
Royale Union Saint-Gilloise
SK Slavia Praha
SK Sturm Graz
SL Benfica
SS Lazio
SSC Napoli
Sevilla FC
Shakhtar Donetsk
Slavia Praha
Spartak Moskva
Sport Lisboa e Benfica
Sporting Braga
Sporting CP
Sporting Clube de Braga
Sporting Clube de Portugal
Stade Brestois 29
Stade Rennais
Tottenham Hotspur
Tottenham Hotspur FC
Trabzonspor
Valencia CF
VfB Stuttgart
VfL Wolfsburg
Viktoria Plzeň
Villarreal CF
Zenit St. Petersburg
İstanbul Başakşehir
ŠK Slovan Bratislava
