date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2024-09-25,18.45,AZ Alkmaar,IF Elfsborg,3,2,League phase,3-2,(1-1),EL,Europa League,2024
2024-09-25,,FK Bodø/Glimt,FC Porto,3,2,League phase,3-2,(2-1),EL,Europa League,2024
2024-09-25,21.00,Manchester United,FC Twente,1,1,League phase,1-1,(1-0),EL,Europa League,2024
2024-09-25,,PFC Ludogorets Razgrad,Slavia Praha,0,2,League phase,0-2,(0-1),EL,Europa League,2024
2024-09-25,,Galatasaray,PAOK Saloniki,3,1,League phase,3-1,(0-0),EL,Europa League,2024
2024-09-25,,Dinamo Kiev,Lazio Roma,0,3,League phase,0-3,(0-3),EL,Europa League,2024
2024-09-25,,FC Midtjylland,1899 Hoffenheim,1,1,League phase,1-1,(1-0),EL,Europa League,2024
2024-09-25,,RSC Anderlecht,Ferencvárosi TC,2,1,League phase,2-1,(0-0),EL,Europa League,2024
2024-09-25,,OGC Nice,Real Sociedad,1,1,League phase,1-1,(1-1),EL,Europa League,2024
2024-09-26,18.45,Fenerbahçe,Union Saint-Gilloise,2,1,League phase,2-1,(1-0),EL,Europa League,2024
2024-09-26,,Malmö FF,Rangers FC,0,2,League phase,0-2,(0-1),EL,Europa League,2024
2024-09-26,21.00,AS Roma,Athletic Club,1,1,League phase,1-1,(1-0),EL,Europa League,2024
2024-09-26,,Eintracht Frankfurt,Viktoria Plzeň,3,3,League phase,3-3,(1-1),EL,Europa League,2024
2024-09-26,,AFC Ajax,Beşiktaş,4,0,League phase,4-0,(1-0),EL,Europa League,2024
2024-09-26,,Sporting Braga,Maccabi Tel Aviv,2,1,League phase,2-1,(0-1),EL,Europa League,2024
2024-09-26,,Olympique Lyonnais,Olympiakos Piraeus,2,0,League phase,2-0,(0-0),EL,Europa League,2024
2024-09-26,,FCSB,FK RFS,4,1,League phase,4-1,(2-1),EL,Europa League,2024
2024-09-26,21.35,Tottenham Hotspur,Qarabağ FK,3,0,League phase,3-0,(1-0),EL,Europa League,2024
2024-10-03,18.45,Slavia Praha,AFC Ajax,1,1,League phase,1-1,(0-1),EL,Europa League,2024
2024-10-03,,Lazio Roma,OGC Nice,4,1,League phase,4-1,(2-1),EL,Europa League,2024
2024-10-03,,Maccabi Tel Aviv,FC Midtjylland,0,2,League phase,0-2,(0-1),EL,Europa League,2024
2024-10-03,,Ferencvárosi TC,Tottenham Hotspur,1,2,League phase,1-2,(0-1),EL,Europa League,2024
2024-10-03,,Real Sociedad,RSC Anderlecht,1,2,League phase,1-2,(1-2),EL,Europa League,2024
2024-10-03,,Olympiakos Piraeus,Sporting Braga,3,0,League phase,3-0,(1-0),EL,Europa League,2024
2024-10-03,,Qarabağ FK,Malmö FF,1,2,League phase,1-2,(1-1),EL,Europa League,2024
