date,time,home_team,away_team,home_goals,away_goals,stage,score_token,detail,competition_code,competition_label,season_start
2020-10-22,18.55,BSC Young Boys,AS Roma,1,2,Group A,1-2,(1-0),EL,Europa League,2020
2020-10-22,,CSKA Sofia,CFR Cluj,0,2,Group A,0-2,(0-0),EL,Europa League,2020
2020-10-29,21.00,AS Roma,CSKA Sofia,0,0,Group A,0-0,,EL,Europa League,2020
2020-10-29,,CFR Cluj,BSC Young Boys,1,1,Group A,1-1,(0-0),EL,Europa League,2020
2020-11-05,18.55,AS Roma,CFR Cluj,5,0,Group A,5-0,(3-0),EL,Europa League,2020
2020-11-05,21.00,BSC Young Boys,CSKA Sofia,3,0,Group A,3-0,(3-0),EL,Europa League,2020
2020-11-26,18.55,CSKA Sofia,BSC Young Boys,0,1,Group A,0-1,(0-1),EL,Europa League,2020
2020-11-26,21.00,CFR Cluj,AS Roma,0,2,Group A,0-2,(0-0),EL,Europa League,2020
2020-12-03,21.00,AS Roma,BSC Young Boys,3,1,Group A,3-1,(1-1),EL,Europa League,2020
2020-12-03,,CFR Cluj,CSKA Sofia,0,0,Group A,0-0,,EL,Europa League,2020
2020-12-10,18.55,CSKA Sofia,AS Roma,3,1,Group A,3-1,(2-1),EL,Europa League,2020
2020-12-10,,BSC Young Boys,CFR Cluj,2,1,Group A,2-1,(0-0),EL,Europa League,2020
2020-10-22,18.55,Rapid Wien,Arsenal FC,1,2,Group B,1-2,(0-0),EL,Europa League,2020
2020-10-22,,Dundalk FC,Molde FK,1,2,Group B,1-2,(1-0),EL,Europa League,2020
2020-10-29,21.00,Arsenal FC,Dundalk FC,3,0,Group B,3-0,(2-0),EL,Europa League,2020
2020-10-29,,Molde FK,Rapid Wien,1,0,Group B,1-0,(0-0),EL,Europa League,2020
2020-11-05,18.55,Rapid Wien,Dundalk FC,4,3,Group B,4-3,(1-1),EL,Europa League,2020
2020-11-05,21.00,Arsenal FC,Molde FK,4,1,Group B,4-1,(1-1),EL,Europa League,2020
2020-11-26,18.55,Molde FK,Arsenal FC,0,3,Group B,0-3,(0-0),EL,Europa League,2020
2020-11-26,21.00,Dundalk FC,Rapid Wien,1,3,Group B,1-3,(0-2),EL,Europa League,2020
2020-12-03,21.00,Arsenal FC,Rapid Wien,4,1,Group B,4-1,(3-0),EL,Europa League,2020
2020-12-03,,Molde FK,Dundalk FC,3,1,Group B,3-1,(2-0),EL,Europa League,2020
2020-12-10,18.55,Dundalk FC,Arsenal FC,2,4,Group B,2-4,(1-2),EL,Europa League,2020
2020-12-10,,Rapid Wien,Molde FK,2,2,Group B,2-2,(1-1),EL,Europa League,2020
2020-10-22,18.55,Bayer Leverkusen,OGC Nice,6,2,Group C,6-2,(2-1),EL,Europa League,2020
2020-10-22,,Hapoel Be'er Sheva,Slavia Praha,3,1,Group C,3-1,(1-0),EL,Europa League,2020
2020-10-29,21.00,Slavia Praha,Bayer Leverkusen,1,0,Group C,1-0,(0-0),EL,Europa League,2020
2020-10-29,,OGC Nice,Hapoel Be'er Sheva,1,0,Group C,1-0,(1-0),EL,Europa League,2020
2020-11-05,18.55,Hapoel Be'er Sheva,Bayer Leverkusen,2,4,Group C,2-4,(2-2),EL,Europa League,2020
2020-11-05,,Slavia Praha,OGC Nice,3,2,Group C,3-2,(2-1),EL,Europa League,2020
2020-11-26,21.00,Bayer Leverkusen,Hapoel Be'er Sheva,4,1,Group C,4-1,(1-0),EL,Europa League,2020
2020-11-26,,OGC Nice,Slavia Praha,1,3,Group C,1-3,(0-1),EL,Europa League,2020
2020-12-03,21.00,OGC Nice,Bayer Leverkusen,2,3,Group C,2-3,(1-2),EL,Europa League,2020
2020-12-03,,Slavia Praha,Hapoel Be'er Sheva,3,0,Group C,3-0,(2-0),EL,Europa League,2020
2020-12-10,18.55,Bayer Leverkusen,Slavia Praha,4,0,Group C,4-0,(2-0),EL,Europa League,2020
2020-12-10,,Hapoel Be'er Sheva,OGC Nice,1,0,Group C,1-0,(0-0),EL,Europa League,2020
2020-10-22,18.55,Lech Poznań,SL Benfica,2,4,Group D,2-4,(1-2),EL,Europa League,2020
2020-10-22,,Standard Liège,Rangers FC,0,2,Group D,0-2,(0-1),EL,Europa League,2020
2020-10-29,21.00,Rangers FC,Lech Poznań,1,0,Group D,1-0,(0-0),EL,Europa League,2020
2020-10-29,,SL Benfica,Standard Liège,3,0,Group D,3-0,(0-0),EL,Europa League,2020
2020-11-05,18.55,Lech Poznań,Standard Liège,3,1,Group D,3-1,(2-1),EL,Europa League,2020
2020-11-05,,SL Benfica,Rangers FC,3,3,Group D,3-3,(1-2),EL,Europa League,2020
2020-11-26,21.00,Standard Liège,Lech Poznań,2,1,Group D,2-1,(0-0),EL,Europa League,2020
2020-11-26,,Rangers FC,SL Benfica,2,2,Group D,2-2,(1-0),EL,Europa League,2020
2020-12-03,21.00,SL Benfica,Lech Poznań,4,0,Group D,4-0,(1-0),EL,Europa League,2020
2020-12-03,,Rangers FC,Standard Liège,3,2,Group D,3-2,(2-2),EL,Europa League,2020
2020-12-10,18.55,Lech Poznań,Rangers FC,0,2,Group D,0-2,(0-1),EL,Europa League,2020
2020-12-10,,Standard Liège,SL Benfica,2,2,Group D,2-2,(1-1),EL,Europa League,2020
2020-10-22,18.55,PSV Eindhoven,Granada CF,1,2,Group E,1-2,(1-0),EL,Europa League,2020
2020-10-22,,PAOK Saloniki,Omonia Nikosia,1,1,Group E,1-1,(0-1),EL,Europa League,2020
2020-10-29,21.00,Granada CF,PAOK Saloniki,0,0,Group E,0-0,,EL,Europa League,2020
2020-10-29,,Omonia Nikosia,PSV Eindhoven,1,2,Group E,1-2,(1-1),EL,Europa League,2020
2020-11-05,18.55,Omonia Nikosia,Granada CF,0,2,Group E,0-2,(0-1),EL,Europa League,2020
2020-11-05,,PAOK Saloniki,PSV Eindhoven,4,1,Group E,4-1,(0-1),EL,Europa League,2020
2020-11-26,21.00,Granada CF,Omonia Nikosia,2,1,Group E,2-1,(1-0),EL,Europa League,2020
