team_name
1. FC Union Berlin
1899 Hoffenheim
AC Milan
AC Sparta Praha
AEK Athen
AEK Larnaca
AFC Ajax
AS Monaco
AS Roma
AZ Alkmaar
Aris Limassol
Arsenal FC
Atalanta
Athletic Club
BK Häcken
BSC Young Boys
Bayer Leverkusen
Beşiktaş
Borussia Dortmund
Brighton & Hove Albion
Brøndby IF
CFR Cluj
CSKA Moskva
CSKA Sofia
Celtic FC
Club Brugge KV
Crvena Zvezda
Dinamo Kiev
Dinamo Zagreb
Dundalk FC
Eintracht Frankfurt
FC Barcelona
FC Midtjylland
FC Nantes
FC Porto
FC Sheriff
FC Twente
FC Zürich
FCSB
FK Bodø/Glimt
FK Krasnodar
FK RFS
Fenerbahçe
Ferencvárosi TC
Feyenoord
Galatasaray
Granada CF
HJK Helsinki
HNK Rijeka
Hapoel Be'er Sheva
IF Elfsborg
Juventus
KAA Gent
KRC Genk
LASK
Lazio Roma
Lech Poznań
Legia Warszawa
Leicester City
Lille OSC
Liverpool FC
Lokomotiv Moskva
Maccabi Haifa
Maccabi Tel Aviv
Malmö FF
Manchester United
Molde FK
OGC Nice
Olympiakos Piraeus
Olympique Lyonnais
Olympique Marseille
Omonia Nikosia
PAOK Saloniki
PFC Ludogorets Razgrad
PSV Eindhoven
Panathinaikos
Qarabağ FK
RB Leipzig
RB Salzburg
RC Lens
RSC Anderlecht
Raków Częstochowa
Rangers FC
Rapid Wien
Real Betis
Real Sociedad
Royal Antwerp FC
SC Freiburg
SL Benfica
SSC Napoli
Servette FC
Sevilla FC
Shakhtar Donetsk
Sivasspor
Slavia Praha
Slovan Liberec
Spartak Moskva
Sporting Braga
Sporting CP
Stade Rennais
Standard Liège
Sturm Graz
TSC Bačka Topola
Tottenham Hotspur
Toulouse FC
Trabzonspor
Union Saint-Gilloise
Viktoria Plzeň
Villarreal CF
West Ham United
Wolfsberger AC
Zenit St. Petersburg
Zorya Lugansk
