market_group,market_title,normalized_family,model_target,builder_priority,supported_by_model,core_market
Goals,1st Half - GG/NG,btts,btts,high,True,True
Goals,1st/2nd Half GG/NG,btts,btts,high,True,True
Goals,2nd Half - GG/NG,btts,btts,high,True,True
Half,Both Teams to Score in Both Halves Yes/No,btts,btts,high,True,True
Main,GG/NG,btts,btts,high,True,True
Main,GG/NG 2+,btts,btts,high,True,True
Goals,No Draw Both Teams To Score Yes/No,btts,btts,high,True,True
Goals,1st Half - Exact Goals,goals,totals,high,True,True
Goals,1st Half - Multigoals,goals,totals,high,True,True
Half,1st Half - Over/Under,goals,totals,high,True,True
Goals,1st half - Alaves Over/Under,goals,totals,high,True,True
Goals,1st half - Athletic Bilbao Over/Under,goals,totals,high,True,True
Goals,1st half - Atletico Madrid Over/Under,goals,totals,high,True,True
Goals,1st half - Barcelona Over/Under,goals,totals,high,True,True
Goals,1st half - Bayer Leverkusen Over/Under,goals,totals,high,True,True
Goals,1st half - Betis Over/Under,goals,totals,high,True,True
Goals,1st half - Bournemouth Over/Under,goals,totals,high,True,True
Goals,1st half - Burnley Over/Under,goals,totals,high,True,True
Goals,1st half - Elche CF Over/Under,goals,totals,high,True,True
Goals,1st half - Freiburg Over/Under,goals,totals,high,True,True
Goals,1st half - Getafe Over/Under,goals,totals,high,True,True
Goals,1st half - Girona Over/Under,goals,totals,high,True,True
Goals,1st half - Heidenheim Over/Under,goals,totals,high,True,True
Goals,1st half - Hoffenheim Over/Under,goals,totals,high,True,True
Goals,1st half - Levante Over/Under,goals,totals,high,True,True
Goals,1st half - Mainz Over/Under,goals,totals,high,True,True
Goals,1st half - Rayo Vallecano Over/Under,goals,totals,high,True,True
Goals,1st half - Real Sociedad Over/Under,goals,totals,high,True,True
Goals,1st half - Sevilla Over/Under,goals,totals,high,True,True
Goals,1st half - Stuttgart Over/Under,goals,totals,high,True,True
Goals,1st half - Valencia Over/Under,goals,totals,high,True,True
Goals,1st half - Villarreal Over/Under,goals,totals,high,True,True
Goals,2nd Half - Alaves Over/Under,goals,totals,high,True,True
Goals,2nd Half - Athletic Bilbao Over/Under,goals,totals,high,True,True
Goals,2nd Half - Atletico Madrid Over/Under,goals,totals,high,True,True
Goals,2nd Half - Barcelona Over/Under,goals,totals,high,True,True
Goals,2nd Half - Bayer Leverkusen Over/Under,goals,totals,high,True,True
Goals,2nd Half - Betis Over/Under,goals,totals,high,True,True
Goals,2nd Half - Bournemouth Over/Under,goals,totals,high,True,True
Goals,2nd Half - Burnley Over/Under,goals,totals,high,True,True
Goals,2nd Half - Elche CF Over/Under,goals,totals,high,True,True
Goals,2nd Half - Exact Goals,goals,totals,high,True,True
Goals,2nd Half - Freiburg Over/Under,goals,totals,high,True,True
Goals,2nd Half - Getafe Over/Under,goals,totals,high,True,True
Goals,2nd Half - Girona Over/Under,goals,totals,high,True,True
Goals,2nd Half - Heidenheim Over/Under,goals,totals,high,True,True
Goals,2nd Half - Hoffenheim Over/Under,goals,totals,high,True,True
Goals,2nd Half - Levante Over/Under,goals,totals,high,True,True
Goals,2nd Half - Mainz Over/Under,goals,totals,high,True,True
Goals,2nd Half - Multigoals,goals,totals,high,True,True
Half,2nd Half - Over/Under,goals,totals,high,True,True
Goals,2nd Half - Rayo Vallecano Over/Under,goals,totals,high,True,True
Goals,2nd Half - Real Sociedad Over/Under,goals,totals,high,True,True
Goals,2nd Half - Sevilla Over/Under,goals,totals,high,True,True
Goals,2nd Half - Stuttgart Over/Under,goals,totals,high,True,True
Goals,2nd Half - Valencia Over/Under,goals,totals,high,True,True
Goals,2nd Half - Villarreal Over/Under,goals,totals,high,True,True
Goals,Alaves Over/Under,goals,totals,high,True,True
Goals,Athletic Bilbao Over/Under,goals,totals,high,True,True
Goals,Atletico Madrid Over/Under,goals,totals,high,True,True
Goals,Away Multigoals,goals,totals,high,True,True
Goals,Barcelona Over/Under,goals,totals,high,True,True
Goals,Bayer Leverkusen Over/Under,goals,totals,high,True,True
Goals,Betis Over/Under,goals,totals,high,True,True
Goals,Bournemouth Over/Under,goals,totals,high,True,True
Goals,Burnley Over/Under,goals,totals,high,True,True
Goals,Elche CF Over/Under,goals,totals,high,True,True
Main,Exact Goals,goals,totals,high,True,True
Goals,Freiburg Over/Under,goals,totals,high,True,True
Goals,Getafe Over/Under,goals,totals,high,True,True
Goals,Girona Over/Under,goals,totals,high,True,True
Main,Goal Bounds,goals,totals,high,True,True
Half,Goal Bounds - 1st Half,goals,totals,high,True,True
Goals,Goal Bounds - Away,goals,totals,high,True,True
Goals,Goal Bounds - Home,goals,totals,high,True,True
Main,Goal Range,goals,totals,high,True,True
Goals,Heidenheim Over/Under,goals,totals,high,True,True
Goals,Hoffenheim Over/Under,goals,totals,high,True,True
Goals,Home Multigoals,goals,totals,high,True,True
Goals,Levante Over/Under,goals,totals,high,True,True
Goals,Mainz Over/Under,goals,totals,high,True,True
