market_group,market_title
Goals,1st Half - Away Team Clean Sheet
Goals,1st Half - Exact Goals
Goals,1st Half - GG/NG
Goals,1st Half - Home Team Clean Sheet
Goals,1st Half - Multigoals
Goals,1st Half - Odd/Even
Goals,1st half - Bournemouth Over/Under
Goals,1st half - Burnley Over/Under
Goals,1st/2nd Half GG/NG
Goals,2nd Half - 1st Goal
Goals,2nd Half - Away Team Clean Sheet
Goals,2nd Half - Bournemouth Over/Under
Goals,2nd Half - Burnley Over/Under
Goals,2nd Half - Exact Goals
Goals,2nd Half - GG/NG
Goals,2nd Half - Home Team Clean Sheet
Goals,2nd Half - Multigoals
Goals,2nd Half - Odd/Even
Goals,Away Multigoals
Goals,Away Team Clean Sheet
Goals,Away Team Goals
Goals,Away Team Odd/Even
Goals,Away Team To Score Yes/No
Goals,Away Team to Score In Both Halves
Goals,Both Halves Over 1.5
Goals,Both Halves Under 1.5
Goals,Bournemouth Over/Under
Goals,Burnley Over/Under
Goals,Excluded Number of Goals - Away
Goals,Excluded Number of Goals - Home
Goals,Goal Bounds - Away
Goals,Goal Bounds - Home
Goals,Home Multigoals
Goals,Home Team Clean Sheet
Goals,Home Team Goals
Goals,Home Team Odd/Even
Goals,Home Team To Score Yes/No
Goals,Home Team to Score In Both Halves
Goals,Multigoals
Goals,Multiscores
Goals,No Draw Both Teams To Score Yes/No
Half,1st Half - 1X2
Half,1st Half - 1X2 & GG/NG
Half,1st Half - 1X2 & Over/Under
Half,1st Half - 1st Goal
Half,1st Half - Asian Handicap
Half,1st Half - Correct Score
Half,1st Half - Double Chance
Half,1st Half - Double Chance & GG/NG
Half,1st Half - Draw No Bet
Half,1st Half - Handicap
Half,1st Half - Over/Under
Half,2nd Half - 1X2
Half,2nd Half - 1X2 & GG/NG
Half,2nd Half - 1X2 & Over/Under
Half,2nd Half - Asian Handicap
Half,2nd Half - Correct Score
Half,2nd Half - Double Chance
Half,2nd Half - Double Chance & GG/NG
Half,2nd Half - Draw No Bet
Half,2nd Half - Handicap 0:1
Half,2nd Half - Handicap 1:0
Half,2nd Half - Handicap 2:0
Half,2nd Half - Over/Under
Half,2nd Half Away Team Total Goals Odd or Even
Half,2nd Half Away Team to Score Yes/No
Half,2nd Half Home Team Total Goals Odd or Even
Half,2nd Half Home Team to Score Yes/No
Half,Away Team Highest Scoring Half
Half,Away Team to Win Both Halves
Half,Away Team to Win Either Half
Half,Both Teams to Score in Both Halves Yes/No
Half,Double Chance & 1st Half GG/NG
Half,Double Chance & 2nd Half GG/NG
Half,Excluded Number of Goals - First Half
Half,Goal Bounds - 1st Half
Half,Half Time/Full Time Correct Score
Half,Half-time Away Team Total Goals Odd or Even
Half,Half-time Away Team to Score Yes/No
