event_id,market_group,market_title
sr:match:61301103,Combo,1X2 & GG/NG
sr:match:61301103,Combo,1X2 & Over/Under
sr:match:61301103,Combo,1st Goal & 1X2
sr:match:61301103,Combo,1st Half Result or Match Result
sr:match:61301103,Combo,2nd Half Away Team to Win to Nil Yes/No
sr:match:61301103,Combo,2nd Half Double Chance & Total Goals
sr:match:61301103,Combo,2nd Half Home Team to Win to Nil Yes/No
sr:match:61301103,Combo,Away Team or Any Clean Sheet
sr:match:61301103,Combo,Away Team or GG
sr:match:61301103,Combo,Away Team to Win to Nil
sr:match:61301103,Combo,Away or Over 2.5
sr:match:61301103,Combo,Away or Under 2.5
sr:match:61301103,Combo,Double Chance & GG/NG
sr:match:61301103,Combo,Double Chance & Over/Under
sr:match:61301103,Combo,Draw or Any Clean Sheet
sr:match:61301103,Combo,Draw or GG
sr:match:61301103,Combo,Draw or Over 2.5
sr:match:61301103,Combo,Draw or Under 2.5
sr:match:61301103,Combo,Half-time Away Team to Win to Nil Yes/No
sr:match:61301103,Combo,Half-time Double Chance & Total Goals
sr:match:61301103,Combo,Half-time Home Team to Win to Nil Yes/No
sr:match:61301103,Combo,Halftime/Fulltime & 1st Half Over/Under
sr:match:61301103,Combo,Halftime/Fulltime & Exact Goals
sr:match:61301103,Combo,Halftime/Fulltime & Over/Under
sr:match:61301103,Combo,Home Team or Any Clean Sheet
sr:match:61301103,Combo,Home Team or GG
sr:match:61301103,Combo,Home Team or Over 2.5
sr:match:61301103,Combo,Home Team or Under 2.5
sr:match:61301103,Combo,Home Team to Win to Nil
sr:match:61301103,Combo,Match Cards
sr:match:61301103,Combo,Match Cards 1st Half
sr:match:61301103,Combo,Match Cards 2nd Half
sr:match:61301103,Combo,Over/Under & GG/NG
sr:match:61301103,Corners,1st Half Away Team Corners
sr:match:61301103,Corners,1st Half Home Team Corners
sr:match:61301103,Corners,Away Team Total Corners
sr:match:61301103,Corners,Home Team Total Corners
sr:match:61301103,Goals,1st Half - Away Team Clean Sheet
sr:match:61301103,Goals,1st Half - Exact Goals
sr:match:61301103,Goals,1st Half - GG/NG
sr:match:61301103,Goals,1st Half - Home Team Clean Sheet
sr:match:61301103,Goals,1st Half - Multigoals
sr:match:61301103,Goals,1st Half - Odd/Even
sr:match:61301103,Goals,1st half - Bournemouth Over/Under
sr:match:61301103,Goals,1st half - Burnley Over/Under
sr:match:61301103,Goals,1st/2nd Half GG/NG
sr:match:61301103,Goals,2nd Half - 1st Goal
sr:match:61301103,Goals,2nd Half - Away Team Clean Sheet
sr:match:61301103,Goals,2nd Half - Bournemouth Over/Under
sr:match:61301103,Goals,2nd Half - Burnley Over/Under
sr:match:61301103,Goals,2nd Half - Exact Goals
sr:match:61301103,Goals,2nd Half - GG/NG
sr:match:61301103,Goals,2nd Half - Home Team Clean Sheet
sr:match:61301103,Goals,2nd Half - Multigoals
sr:match:61301103,Goals,2nd Half - Odd/Even
sr:match:61301103,Goals,Away Multigoals
sr:match:61301103,Goals,Away Team Clean Sheet
sr:match:61301103,Goals,Away Team Goals
sr:match:61301103,Goals,Away Team Odd/Even
sr:match:61301103,Goals,Away Team To Score Yes/No
sr:match:61301103,Goals,Away Team to Score In Both Halves
sr:match:61301103,Goals,Both Halves Over 1.5
sr:match:61301103,Goals,Both Halves Under 1.5
sr:match:61301103,Goals,Bournemouth Over/Under
sr:match:61301103,Goals,Burnley Over/Under
sr:match:61301103,Goals,Excluded Number of Goals - Away
sr:match:61301103,Goals,Excluded Number of Goals - Home
sr:match:61301103,Goals,Goal Bounds - Away
sr:match:61301103,Goals,Goal Bounds - Home
sr:match:61301103,Goals,Home Multigoals
sr:match:61301103,Goals,Home Team Clean Sheet
sr:match:61301103,Goals,Home Team Goals
sr:match:61301103,Goals,Home Team Odd/Even
