season,target,log_loss,accuracy,train_rows,val_rows
2014/2015,over25,0.8463258308256736,0.448,375,125
2014/2015,btts,0.8687059367483646,0.456,375,125
2014/2015,1x2,1.2290848356416932,0.496,375,125
2015/2016,over25,0.816852034166499,0.52,500,125
2015/2016,btts,0.7544114653446791,0.528,500,125
2015/2016,1x2,1.0696412882461295,0.552,500,125
2016/2017,over25,0.755541650546591,0.56,625,125
2016/2017,btts,0.8467553515717682,0.44,625,125
2016/2017,1x2,1.1468223324607212,0.56,625,125
2017/2018,over25,0.7102221890993966,0.576,750,125
2017/2018,btts,0.7201787537698889,0.56,750,125
2017/2018,1x2,1.2387380679377933,0.552,750,125
2018/2019,over25,0.8686797935475211,0.488,875,125
2018/2019,btts,0.8397936272496769,0.472,875,125
2018/2019,1x2,1.1531430462023398,0.48,875,125
2019/2020,over25,0.7645147772462414,0.5462184873949579,1000,119
2019/2020,btts,0.7379157924189105,0.5630252100840336,1000,119
2019/2020,1x2,1.0907185518258875,0.5462184873949579,1000,119
2020/2021,over25,0.7090059626948343,0.5636363636363636,1119,330
2020/2021,btts,0.7346893043881072,0.5515151515151515,1119,330
2020/2021,1x2,1.0648702651654767,0.503030303030303,1119,330
2021/2022,over25,0.7418320985251454,0.5037878787878788,1449,264
2021/2022,btts,0.6920508199244881,0.5681818181818182,1449,264
2021/2022,1x2,1.0659888412815524,0.5151515151515151,1449,264
2022/2023,over25,0.7102581471022015,0.5639097744360902,1713,266
2022/2023,btts,0.7464956616989212,0.5075187969924813,1713,266
2022/2023,1x2,1.0240650483307447,0.556390977443609,1713,266
2023/2024,over25,0.7179094394000533,0.5827067669172933,1979,266
2023/2024,btts,0.7025960887414283,0.5338345864661654,1979,266
2023/2024,1x2,1.0411991735171187,0.5413533834586466,1979,266
2024/2025,over25,0.6679884284696058,0.6031746031746031,2245,378
2024/2025,btts,0.6933932372301832,0.5211640211640212,2245,378
2024/2025,1x2,1.001483105904555,0.5502645502645502,2245,378
2025/2026,over25,0.6576500917439282,0.6136363636363636,2623,176
2025/2026,btts,0.7261782463140186,0.5681818181818182,2623,176
2025/2026,1x2,0.989190286218482,0.5681818181818182,2623,176
