season,target,label,market,line,n_val,base_rate,Model_logloss,Model_brier,Model_acc
2022/2023,corners_over_8_5,Corners O8.5,CORNERS,8.5,376,0.651595744680851,0.6516001358292093,0.22919270540170444,0.651595744680851
2022/2023,corners_over_9_5,Corners O9.5,CORNERS,9.5,376,0.5398936170212766,0.6931260968433133,0.2499630240067107,0.5398936170212766
2022/2023,corners_over_10_5,Corners O10.5,CORNERS,10.5,376,0.42819148936170215,0.6820240422032464,0.2444811118112942,0.574468085106383
2022/2023,home_corners_over_4_5,Home Corners O4.5,HOME CORNERS,4.5,376,0.6090425531914894,0.5969657493623716,0.20581652391159108,0.6702127659574468
2022/2023,away_corners_over_3_5,Away Corners O3.5,AWAY CORNERS,3.5,376,0.5664893617021277,0.613313945624475,0.21313879544091655,0.651595744680851
2022/2023,bookings_over_3_5,Bookings O3.5,BOOKINGS,3.5,376,0.4654255319148936,0.6923796320275968,0.24941387929077816,0.5372340425531915
2022/2023,bookings_over_4_5,Bookings O4.5,BOOKINGS,4.5,376,0.2898936170212766,0.5911737323929963,0.20104903600714463,0.7074468085106383
2022/2023,bookings_over_5_5,Bookings O5.5,BOOKINGS,5.5,376,0.17553191489361702,0.47221784839474296,0.14636718979613486,0.824468085106383
2022/2023,home_bookings_over_1_5,Home Bookings O1.5,HOME BOOKINGS,1.5,376,0.5132978723404256,0.6680029708143427,0.23761234468362905,0.5904255319148937
2022/2023,away_bookings_over_1_5,Away Bookings O1.5,AWAY BOOKINGS,1.5,376,0.5797872340425532,0.6862335147762291,0.24655469911899341,0.5638297872340425
2022/2023,shots_over_22_5,Shots O22.5,SHOTS,22.5,376,0.6356382978723404,0.4137203151399507,0.1329560872425285,0.7978723404255319
2022/2023,shots_over_24_5,Shots O24.5,SHOTS,24.5,376,0.526595744680851,0.4315185172815842,0.136640123913881,0.824468085106383
2022/2023,shots_over_26_5,Shots O26.5,SHOTS,26.5,376,0.3882978723404255,0.45710832473621493,0.14823924245987763,0.773936170212766
2022/2023,home_shots_over_11_5,Home Shots O11.5,HOME SHOTS,11.5,376,0.651595744680851,0.19939296827470174,0.05572353906077883,0.9281914893617021
2022/2023,away_shots_over_9_5,Away Shots O9.5,AWAY SHOTS,9.5,376,0.598404255319149,0.24971256266203973,0.07538376205611658,0.898936170212766
2022/2023,sot_over_7_5,SOT O7.5,SHOTS ON TARGET,7.5,376,0.6542553191489362,0.5375472371633463,0.18038759467642015,0.7393617021276596
2022/2023,sot_over_8_5,SOT O8.5,SHOTS ON TARGET,8.5,376,0.5186170212765957,0.5755636122439568,0.19497105906083062,0.7207446808510638
2022/2023,sot_over_9_5,SOT O9.5,SHOTS ON TARGET,9.5,376,0.3882978723404255,0.5754057535463015,0.19681279787341213,0.6808510638297872
2022/2023,home_sot_over_3_5,Home SOT O3.5,HOME SOT,3.5,376,0.6968085106382979,0.44920968741299777,0.14982506041050137,0.7712765957446809
2022/2023,away_sot_over_2_5,Away SOT O2.5,AWAY SOT,2.5,376,0.6914893617021277,0.5029521660359221,0.16594036377187033,0.7553191489361702
2022/2023,fouls_over_20_5,Fouls O20.5,FOULS,20.5,376,0.5372340425531915,0.5944378491181335,0.20363971288159258,0.6861702127659575
2022/2023,fouls_over_22_5,Fouls O22.5,FOULS,22.5,376,0.40425531914893614,0.5765351072470534,0.19657085047315917,0.699468085106383
2022/2023,fouls_over_24_5,Fouls O24.5,FOULS,24.5,376,0.27393617021276595,0.4926750615374525,0.16383767967318383,0.7313829787234043
2022/2023,home_fouls_over_9_5,Home Fouls O9.5,HOME FOULS,9.5,376,0.6117021276595744,0.6165605178483767,0.21379438295429182,0.6675531914893617
2022/2023,away_fouls_over_9_5,Away Fouls O9.5,AWAY FOULS,9.5,376,0.6356382978723404,0.6130011726643676,0.2113676462119324,0.6941489361702128
2022/2023,first_half_over_0_5,1H Goals O0.5,1ST HALF GOALS,0.5,376,0.7446808510638298,0.5541867223201064,0.1843946602622894,0.7526595744680851
2022/2023,first_half_over_1_5,1H Goals O1.5,1ST HALF GOALS,1.5,376,0.3803191489361702,0.6225315931890875,0.2176512424336439,0.6223404255319149
2022/2023,first_half_btts,1H BTTS,1ST HALF GG/NG,0.5,376,0.21010638297872342,0.4870695100706853,0.15688786072089675,0.7898936170212766
2023/2024,corners_over_8_5,Corners O8.5,CORNERS,8.5,376,0.7393617021276596,0.5646045306799939,0.189679457575796,0.7446808510638298
2023/2024,corners_over_9_5,Corners O9.5,CORNERS,9.5,376,0.6117021276595744,0.6482121668729371,0.22822211238029882,0.6409574468085106
2023/2024,corners_over_10_5,Corners O10.5,CORNERS,10.5,376,0.5212765957446809,0.6843507145897765,0.2455621480331052,0.5771276595744681
2023/2024,home_corners_over_4_5,Home Corners O4.5,HOME CORNERS,4.5,376,0.6276595744680851,0.5932998617673031,0.20314297486299174,0.6781914893617021
2023/2024,away_corners_over_3_5,Away Corners O3.5,AWAY CORNERS,3.5,376,0.6329787234042553,0.5690947665307386,0.19348235872993766,0.7180851063829787
2023/2024,bookings_over_3_5,Bookings O3.5,BOOKINGS,3.5,376,0.6117021276595744,0.7113789495884986,0.2583238834554746,0.5079787234042553
2023/2024,bookings_over_4_5,Bookings O4.5,BOOKINGS,4.5,376,0.4228723404255319,0.7211729901956646,0.258578765083464,0.5797872340425532
2023/2024,bookings_over_5_5,Bookings O5.5,BOOKINGS,5.5,376,0.23670212765957446,0.5798872659771939,0.18955621643988804,0.7632978723404256
2023/2024,home_bookings_over_1_5,Home Bookings O1.5,HOME BOOKINGS,1.5,376,0.5585106382978723,0.6930182882449134,0.24992399187450498,0.5079787234042553
2023/2024,away_bookings_over_1_5,Away Bookings O1.5,AWAY BOOKINGS,1.5,376,0.6861702127659575,0.6645455182091142,0.235878148699843,0.6170212765957447
2023/2024,shots_over_22_5,Shots O22.5,SHOTS,22.5,376,0.7925531914893617,0.2782455503113356,0.08040990085888645,0.898936170212766
2023/2024,shots_over_24_5,Shots O24.5,SHOTS,24.5,376,0.6781914893617021,0.3430286068358585,0.10270364429519976,0.8696808510638298
2023/2024,shots_over_26_5,Shots O26.5,SHOTS,26.5,376,0.5452127659574468,0.39640899388654804,0.12165722703323897,0.851063829787234
2023/2024,home_shots_over_11_5,Home Shots O11.5,HOME SHOTS,11.5,376,0.7180851063829787,0.14549113220849738,0.039725524729833185,0.9388297872340425
2023/2024,away_shots_over_9_5,Away Shots O9.5,AWAY SHOTS,9.5,376,0.648936170212766,0.16438208911637356,0.04295782593907213,0.949468085106383
2023/2024,sot_over_7_5,SOT O7.5,SHOTS ON TARGET,7.5,376,0.7420212765957447,0.5184845206889993,0.17084158535357488,0.7686170212765957
2023/2024,sot_over_8_5,SOT O8.5,SHOTS ON TARGET,8.5,376,0.6170212765957447,0.5635827560769148,0.1909263803853239,0.6968085106382979
2023/2024,sot_over_9_5,SOT O9.5,SHOTS ON TARGET,9.5,376,0.4973404255319149,0.5737579398658545,0.1959050381865689,0.699468085106383
2023/2024,home_sot_over_3_5,Home SOT O3.5,HOME SOT,3.5,376,0.7446808510638298,0.35514864416098846,0.11276954416630577,0.851063829787234
2023/2024,away_sot_over_2_5,Away SOT O2.5,AWAY SOT,2.5,376,0.7819148936170213,0.40490557041861536,0.12951624260577474,0.8138297872340425
2023/2024,fouls_over_20_5,Fouls O20.5,FOULS,20.5,376,0.601063829787234,0.5890956520463791,0.20100335943054728,0.7021276595744681
2023/2024,fouls_over_22_5,Fouls O22.5,FOULS,22.5,376,0.4627659574468085,0.6020220185234092,0.20750769627198914,0.675531914893617
2023/2024,fouls_over_24_5,Fouls O24.5,FOULS,24.5,376,0.31382978723404253,0.5472635959066169,0.1849221967342695,0.7180851063829787
2023/2024,home_fouls_over_9_5,Home Fouls O9.5,HOME FOULS,9.5,376,0.6170212765957447,0.6469066416960872,0.22769214081026068,0.6196808510638298
2023/2024,away_fouls_over_9_5,Away Fouls O9.5,AWAY FOULS,9.5,376,0.6914893617021277,0.5761388070498215,0.19482019086497515,0.7287234042553191
2023/2024,first_half_over_0_5,1H Goals O0.5,1ST HALF GOALS,0.5,376,0.75,0.553243207742256,0.1837353784468803,0.75
2023/2024,first_half_over_1_5,1H Goals O1.5,1ST HALF GOALS,1.5,376,0.4228723404255319,0.6538551145983746,0.23113034601883553,0.601063829787234
